EmployeeID,Attrition,Age,HomeToWork,HourlnWeek,Involvement,WorkLifeBalance,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,LastPromotion,CurrentProfile,MonthlyIncome,TravelProfile_Rarely,TravelProfile_Yes,Department_Analytics,Department_Marketing,Department_Sales,EducationField_CA,EducationField_Engineer,EducationField_Marketing Diploma,EducationField_Statistics,Gender_F,Gender_M,Designation_AVP,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,MaritalStatus_Married,MaritalStatus_Single
5110077,0,40,11,67,4,5,4,1,2,0,17,0,0,24705,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
5110078,0,41,17,56,3,4,5,0,2,0,21,2,3,20639,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
5110079,0,43,10,72,3,5,3,0,3,1,18,4,7,20679,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110080,1,36,12,61,3,4,1,1,2,0,19,1,1,17081,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
5110081,0,32,4,39,3,1,2,1,3,0,20,7,7,26159,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5110082,0,38,5,57,3,3,3,1,7,0,24,0,0,18306,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
5110083,0,52,1,65,4,1,3,0,0,0,19,11,9,34999,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0
5110084,0,38,3,75,1,4,5,0,6,1,17,4,12,20980,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
5110085,0,27,1,73,3,4,4,1,0,1,18,1,4,21349,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5110086,0,52,7,78,3,4,5,0,3,1,17,6,9,20577,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
5110087,1,31,7,76,5,1,3,0,4,1,23,7,7,21172,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
5110088,1,26,6,63,3,3,5,1,6,0,19,1,3,20031,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110089,1,32,9,57,3,4,1,0,1,1,29,0,1,17795,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
5110090,1,53,11,57,4,1,4,1,3,0,21,8,8,20941,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5110091,1,24,9,65,1,2,5,0,2,1,27,1,1,17601,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5110092,1,31,19,59,1,4,5,1,0,0,22,0,0,17956,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
5110093,0,36,16,59,3,4,1,0,1,0,24,1,5,17340,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
5110094,0,33,3,35,3,2,1,1,2,1,28,8,9,22162,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110095,0,43,10,72,3,4,3,0,3,1,18,4,7,20679,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110096,1,44,16,73,3,4,2,1,1,0,19,0,5,22978,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5110097,0,32,8,76,3,3,5,0,1,0,25,2,8,25936,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
5110098,0,40,6,48,4,3,5,1,5,1,26,1,12,25475,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
5110099,1,34,17,60,3,5,1,1,6,1,19,1,5,18436,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110100,1,48,12,54,5,4,3,1,8,0,17,15,11,28936,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0
5110101,0,28,11,74,3,2,4,1,1,0,27,0,0,16052,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110102,0,29,8,52,3,2,1,1,1,1,16,1,0,21623,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110103,0,32,27,68,4,5,5,1,2,0,19,2,9,22812,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5110104,1,29,14,51,3,2,4,0,5,0,16,0,0,20765,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
5110105,0,36,1,33,4,5,3,1,0,0,20,1,2,19374,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
5110106,0,33,5,78,3,5,5,0,2,0,18,1,2,18827,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
5110107,0,34,4,40,4,4,2,1,3,0,22,0,0,17979,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
5110108,1,24,8,55,3,4,3,0,1,1,21,1,2,17886,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
5110109,0,31,8,48,3,1,2,0,3,0,27,1,7,20915,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110110,0,49,5,55,4,3,3,1,2,0,18,0,0,33711,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
5110111,0,30,12,32,4,3,2,0,1,0,23,3,3,19983,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5110112,0,29,13,61,3,1,3,0,4,0,19,2,8,19660,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5110113,1,29,9,52,5,3,4,0,1,0,18,2,2,17760,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
5110114,0,25,16,80,3,3,4,0,2,0,19,1,1,18033,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
5110115,1,41,13,49,3,3,3,0,1,0,17,15,8,34545,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
5110116,0,32,1,66,3,5,4,1,1,0,22,0,9,21220,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110117,0,35,23,61,1,4,3,1,1,0,23,1,1,18585,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5110118,0,28,10,57,4,5,5,1,9,0,19,1,8,22811,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5110119,0,30,6,30,4,3,3,0,1,0,18,1,2,21118,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
5110120,1,31,4,66,4,2,5,1,2,0,17,7,8,25714,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
5110121,0,32,6,80,1,1,4,0,0,1,17,0,5,18298,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5110122,0,31,1,57,3,1,4,1,1,0,22,1,0,17501,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5110123,0,43,21,37,3,5,5,0,7,1,23,2,3,21410,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110124,1,35,13,36,3,2,1,1,3,1,29,6,7,19581,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
5110125,1,36,26,52,4,4,3,1,4,1,19,1,2,21916,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
5110126,0,36,11,80,4,5,2,0,5,1,17,5,13,26377,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
5110127,0,40,10,63,4,3,2,1,9,0,19,0,2,19876,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
5110128,0,38,7,72,4,1,3,0,2,0,16,7,7,20321,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110129,0,24,7,53,3,1,4,1,2,0,19,2,3,19295,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5110130,1,38,30,70,3,3,5,0,7,1,24,0,0,21673,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5110131,0,38,13,60,4,1,2,1,3,1,19,1,1,22694,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
5110132,0,29,6,80,3,4,4,0,2,0,25,1,2,18856,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
5110133,0,34,1,64,4,1,3,0,1,1,19,8,6,22083,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
5110134,1,33,7,34,5,4,2,0,2,0,17,10,9,26400,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
5110135,1,38,5,64,4,5,3,0,7,1,21,1,1,18090,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5110136,1,36,17,41,4,2,4,1,2,1,30,1,3,19743,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
5110137,0,38,13,44,1,1,1,0,2,1,31,7,9,29744,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
5110138,0,36,1,45,3,5,1,0,4,0,20,0,0,21653,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
5110139,0,46,19,56,3,5,3,0,5,0,16,1,2,25527,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5110140,0,35,27,31,3,5,1,0,1,1,21,7,7,23837,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5110141,0,38,8,44,1,3,5,0,1,1,29,7,7,20605,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
5110142,0,28,8,55,3,4,5,0,0,0,19,1,3,19898,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
5110143,0,39,5,44,4,4,4,1,2,0,28,4,4,18440,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
5110144,0,41,1,49,2,3,5,1,1,0,19,0,7,23392,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5110145,0,51,3,54,5,5,4,0,5,0,23,1,2,20482,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
5110146,0,34,8,65,4,2,2,0,2,0,19,1,2,18911,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
5110147,1,31,1,80,1,1,4,0,1,0,16,4,7,22446,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
5110148,1,33,17,69,3,3,5,0,5,0,20,0,2,20324,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
5110149,0,31,9,50,4,1,1,1,1,0,18,7,8,20627,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
5110150,0,27,9,68,1,5,1,1,8,0,19,0,0,17534,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
5110151,1,52,11,55,5,1,2,0,3,0,21,1,4,26650,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
5110152,0,49,2,36,3,2,3,1,4,0,19,0,0,30379,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
5110153,0,41,3,58,3,4,4,0,1,0,24,0,4,31015,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1
5110154,0,32,8,67,3,2,2,1,4,0,17,0,3,24204,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
5110155,1,30,10,59,3,2,1,0,1,0,18,0,0,16081,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5110156,0,45,4,80,1,2,5,0,3,0,21,3,3,21033,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
5110157,1,49,10,67,3,2,3,1,3,1,17,8,8,18655,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
5110158,0,31,11,56,3,1,1,1,2,1,16,1,4,21583,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
5110159,0,39,5,64,3,4,3,0,7,1,19,1,2,19057,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110160,0,39,4,61,4,1,5,0,5,0,20,1,2,18858,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
5110161,0,20,9,54,3,5,5,1,1,0,16,0,2,17728,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
5110162,1,28,3,54,5,2,1,0,5,1,18,2,2,18464,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
5110163,0,56,5,70,4,4,1,0,9,0,26,1,5,18662,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
5110164,1,36,1,59,5,1,5,0,0,0,26,0,0,17325,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
5110165,0,49,1,36,3,1,5,0,2,0,21,0,2,18580,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
5110166,0,29,19,51,3,5,3,0,2,0,20,2,5,18144,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5110167,0,34,2,32,3,3,1,0,1,0,26,2,1,24888,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
5110168,1,40,5,56,3,2,1,0,8,0,17,12,6,28169,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
5110169,1,28,25,72,4,4,5,0,1,0,17,1,9,23722,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
5110170,1,29,25,59,4,4,1,0,1,1,29,1,0,17439,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
5110171,0,40,5,67,4,4,2,1,7,0,16,2,11,25855,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5110172,1,37,1,46,4,4,3,1,5,0,16,11,3,25609,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
5110173,0,52,26,51,4,1,1,0,3,0,27,0,0,28826,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
5110174,0,31,20,67,3,1,5,0,2,1,29,1,9,27916,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5110175,0,43,3,45,4,2,2,0,10,1,19,1,3,22062,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5110176,0,35,5,64,4,5,3,0,4,0,18,6,2,18768,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0
5110177,1,38,13,60,3,3,5,1,2,0,21,1,9,20213,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
5110178,0,35,25,58,4,5,1,1,2,1,21,7,12,21747,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
5110179,0,40,15,54,3,3,5,1,1,0,20,1,2,19639,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
5110180,0,41,9,54,3,3,4,0,5,0,26,1,4,19393,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
5110181,0,24,25,49,3,5,4,0,8,0,27,1,2,18597,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5110182,0,26,24,60,3,4,2,1,1,0,27,0,2,17886,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
5110183,0,47,1,68,3,4,4,0,0,0,23,5,12,26957,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
5110184,0,25,3,57,3,5,3,1,6,1,24,0,2,18977,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
5110185,0,59,12,77,4,5,4,0,5,1,26,1,1,19346,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
5110186,0,30,1,58,3,3,1,0,1,0,28,3,2,19011,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
5110187,0,36,3,61,4,4,3,0,1,0,18,9,0,21692,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
5110188,0,25,4,68,3,5,5,0,1,1,23,0,3,19194,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
5110189,0,22,27,55,4,3,3,0,1,1,19,1,3,17814,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
5110190,1,39,4,41,3,5,3,1,4,1,23,0,0,20238,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
5110191,1,55,14,55,1,4,3,0,6,1,22,3,8,28695,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1
5110192,0,37,26,72,3,4,3,1,3,1,20,10,7,19449,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
5110193,0,46,8,75,3,3,3,1,6,0,18,0,7,25845,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
5110194,0,44,1,59,3,1,1,1,6,1,17,1,2,17436,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
